date,is_open
# 示例：20260101,0   （0=强制休市，1=强制开市）
# chinese_calendar 未覆盖的年份或与实际不符的日期，在此逐条补充；
# 填写的日期优先生效。
#
# ============================================================
# 2027-2030 法定节假日预填（第一期：预设到 2030 年）
# ============================================================
# 生成口径（2026-09-04）：
# 1. chinese_calendar 1.11.0 实际数据仅覆盖至 2026-10-07，2027 起走本文件覆盖规则。
# 2. 只填「工作日节假日」（is_open=0）。周末（含调休上班的周末）由代码规则
#    判定为非交易日，无需 CSV 条目（用户已裁决）。
# 3. 节日公历日期来源：
#    - 春节/端午/中秋：lunardate 库精确计算农历日期；
#    - 清明：寿星天文公式（21 世纪项）计算；
#    - 与公开万年历资料交叉核对一致。
# 4. 连休窗口按《全国年节及纪念日放假办法》（2024-11 修订，法定假日 13 天）
#    及 2025/2026 年官方安排惯例推算：
#    春节 8 天（除夕至初七）、五一 5 天（5.1-5.5）、国庆 7 天（10.1-10.7）、
#    元旦/清明/端午/中秋 3 天小长假（法定日+相邻周末，必要时前后借 1 个工作日）、
#    中秋与国庆相邻时合并 8 天。
# 5. ⚠️ 2027 年安排以国务院办公厅正式通知为准，2028-2030 年通知尚未发布、
#    本表为按公布原则推算值——每年 11-12 月官方发布次年安排后必须逐条核对修正，
#    重点核对借调工作日（各 3 天小长假的第 2/3 天）与春节窗口首尾。
#
# ---------- 2027 ----------
# 元旦 1/1（周五）法定
20270101,0
# 春节：除夕 2/5（周五）、初一 2/6（周六）；窗口 2/6-2/13，借 2/8-2/12
20270208,0
20270209,0
20270210,0
20270211,0
20270212,0
# 清明 4/5（周一）法定
20270405,0
# 五一：窗口 5/1-5/5，工作日 5/3-5/5
20270503,0
20270504,0
20270505,0
# 端午 6/9（周三）：窗口 6/9-6/11（后两日为借调，待官方核对）
20270609,0
20270610,0
20270611,0
# 中秋 9/15（周三）：窗口 9/15-9/17（后两日为借调，待官方核对）
20270915,0
20270916,0
20270917,0
# 国庆：窗口 10/1-10/7，工作日 10/1、10/4-10/7（10/2、10/3 为周末）
20271001,0
20271004,0
20271005,0
20271006,0
20271007,0
# ---------- 2028 ----------
# 元旦 1/1（周六）：补休 1/3（周一）
20280103,0
# 春节：除夕 1/25（周二）、初一 1/26（周三）；窗口 1/25-2/1，工作日 1/25-1/28、1/31、2/1
20280125,0
20280126,0
20280127,0
20280128,0
20280131,0
20280201,0
# 清明 4/4（周二）：窗口 4/4-4/6（后两日为借调，待官方核对）
20280404,0
20280405,0
20280406,0
# 五一：窗口 5/1-5/5，全部为工作日
20280501,0
20280502,0
20280503,0
20280504,0
20280505,0
# 端午 5/28（周日）：窗口 5/27-5/29，工作日 5/29（借调，待官方核对）
20280529,0
# 国庆+中秋合并：10/1（周日）、中秋 10/3（周二）；窗口 10/1-10/8，工作日 10/2-10/6（10/7、10/8 为周末）
20281002,0
20281003,0
20281004,0
20281005,0
20281006,0
# ---------- 2029 ----------
# 元旦 1/1（周一）法定
20290101,0
# 春节：除夕 2/12（周一）、初一 2/13（周二）；窗口 2/12-2/19，工作日 2/12-2/16、2/19
20290212,0
20290213,0
20290214,0
20290215,0
20290216,0
20290219,0
# 清明 4/4（周三）：窗口 4/4-4/6（后两日为借调，待官方核对）
20290404,0
20290405,0
20290406,0
# 五一：窗口 5/1-5/5，工作日 5/1-5/4（5/5 为周六）
20290501,0
20290502,0
20290503,0
20290504,0
# 端午 6/16（周六）：窗口 6/16-6/18，工作日 6/18（借调，待官方核对）
20290618,0
# 中秋 9/22（周六）：窗口 9/22-9/24，工作日 9/24（借调，待官方核对）
20290924,0
# 国庆：窗口 10/1-10/7，工作日 10/1-10/5（10/6、10/7 为周末）
20291001,0
20291002,0
20291003,0
20291004,0
20291005,0
# ---------- 2030 ----------
# 元旦 1/1（周二）：窗口 1/1-1/3（1/2、1/3 为借调，待官方核对）
20300101,0
20300102,0
20300103,0
# 春节：除夕 2/2（周六）、初一 2/3（周日）；窗口 2/2-2/9，工作日 2/4-2/8
20300204,0
20300205,0
20300206,0
20300207,0
20300208,0
# 清明 4/5（周五）法定
20300405,0
# 五一：窗口 5/1-5/5，工作日 5/1-5/3（5/4、5/5 为周末）
20300501,0
20300502,0
20300503,0
# 端午 6/5（周三）：窗口 6/5-6/7（后两日为借调，待官方核对）
20300605,0
20300606,0
20300607,0
# 中秋 9/12（周四）：窗口 9/12-9/14，工作日 9/12、9/13（9/14 为周六）
20300912,0
20300913,0
# 国庆：窗口 10/1-10/7，工作日 10/1-10/4、10/7（10/5、10/6 为周末）
20301001,0
20301002,0
20301003,0
20301004,0
20301007,0
